search_terms,basin_code,basin_name,search_completed,basin_count,"Search Notes, Identify any issues ",over_ten_k,finished
Auob OR CAPS(Fish) OR CAPS(Ham) OR Nossob OR Olifants OR Boskloof OR CAPS(Bulk) OR Caledon OR Dwars OR Flouriespruit OR CAPS(Great Fish) OR Groot OR Groot Vloer OR Harts OR Heks OR Houdenbek OR Kaffir OR Kammanassie OR Kareekloof OR Kariega OR Kgabanyane OR Klip OR Koekedou OR Kromme OR Kruis OR Kuruman OR Laughin Water OR Leeu OR Loopspruit OR CAPS(Lower Fish) OR Mahawana OR Modder OR Molopo OR Mooi OR Nuwejaarspruit OR Oorkanste OR CAPS(Orange) OR Palmiet OR Populierbosspruit OR Quains OR Rietspruit OR Rooikloof OR CAPS(Sand) OR Sanddriftskloof OR Sandgat OR Skaap OR Smalblaar OR Swartkops OR Tarka OR Titus OR Vaal OR Vaal Dam OR Valsh OR Van Stadens OR Verneuk Pan,ORAN,Orange,N,,,,
Orinoco OR Ariporo OR Bichada OR Bichado OR Bita OR Bocon OR Craro Norte OR Craw Sur OR Cusiana OR Guainia OR Guaviare OR Guayabera OR Inirida OR La Garcia OR  La Gallinaza OR Losada OR Manacacias OR Mapiripan OR Nare OR Pauto OR CAPS(Playas) OR Salto Angostara I OR Salto Angostura II OR Salto Angostura III OR Tomo OR Tuparro OR Upia OR Ura OR Apure OR Arauca OR Buria OR Capana Paro OR Caroni OR Casiquiare OR Caura OR Chivapuri OR Cinaruco OR Cojedos OR Conorochite OR Cuchiveto OR Embalse de Guri OR Embalse de Guarico OR Erbetuto OR Gaurico OR Guanare OR CAPS(Meta) OR Paco OR Paragua OR Paru OR Parucito OR Portuguesa OR Siapa OR Sipapo OR Suapure OR Ventuari,ORIN,Orinoco,N,,,,
CAPS(Paz),PAZX,Paz,N,,,,
Maggia OR Meosa OR Moesa OR Ticina OR Adda OR Agogna OR Albano OR Arda OR Armisa OR Aveto OR Aviana OR Avio OR Avisio OR Baitone OR Belbo OR Belviso OR Bitto Di Gerola OR Boreaca OR Borleggia OR Bormida OR Brembo OR Brembo Di Branzi OR Caffaro OR Careser OR Caronno OR Ceno OR Cherio OR Chiese OR Chisone OR Cormor OR Dora Baltea OR Dora Riparia OR Elvo OR Enza OR Goglio OR Gorno OR Grana OR Grigno OR Inferno OR Bitto OR Laghetti Del Venerocolo OR Lago d' Iseo OR Lago d' Orta OR Lago di como OR Lago di Garda OR Lago di lecco OR Lago Maggiore OR Laione OR Leno Di Vallarsa OR Liro OR Lovareno OR Maira OR Mera OR Mincio OR Mora OR Noana OR Noce OR Noce Di Val Dal Monte OR Nure OR Oglio OR Ogna OR Orba OR Paharo OR Parma OR Pellice OR Po OR Poglia OR Poglia-Arno OR Poglia-Salarno OR Ratti OR Rio Castelletto OR Roasco OR Roasco D'Eita OR Sarca OR Scalcoggia OR Scrivia OR Secchia OR Seio OR Serio OR Sesia OR Sila OR Stabina OR Stura di Demonte OR Tanaro OR Taro OR Tartano OR Tidone OR Toscolano OR Travignolo OR Trebbia OR Truzzo OR Varaita OR Varrone OR Venina,POXX,Po,N,,"10,000+",,
Pascua,PSCU,Pascua,N,,800-990 left,,
Pu Lun T'o,PULT,Pu Lun T'o,N,,"10,000+",,
Rann of Kutch,RAKU,Rann of Kutch,N,,"2,373",,
CAPS(Red) OR Song Hong OR Amo OR Babian OR Lishe OR Lixian OR Luzhi OR Nanmuli He OR Nanpan Jiang OR Nanpanjiang OR Tangqiao He OR Xida He OR Chay OR CAPS(Da) OR Gam OR Kim OR Lo OR Luc Ngan OR CAPS(Ma) OR Meuk OR CAPS(Na) OR Nhie,REDX,Red/Song Hong,N,,,,
Rezvaya,REZV,Rezvaya,N,,No documents found,,
del Pino OR de la Bagia OR de la Zorra OR Agua Zarca OR Alamo OR Arroyo La Mina OR C. Camargo OR Candela OR Casas Coloradas OR Cerro Coloradas OR Cerro Gordo OR Chuviscar OR Conchos OR El Guardad OR El Rejon OR Florido OR Garabito OR Groceros OR La Sauceda OR Laguna Delicas OR Los Hoyos OR Los Mimbres OR Parral OR Pilon OR Presa de la Boquilla OR Presa Marte R. Comez OR Presa Venustiano Carranza OR Sabinas OR Sacramento OR Salado OR Salado y Salinas OR San Juan OR San Pedro OR San Rodrigo OR Seis de Enero OR Tunal OR Valsequillo OR Abiquin Reservoir OR Alamosa OR Amistad Reservoir OR Arroyo del Macho OR Brady Creek OR Brantley Lake OR Caballo Reservoir OR Cherokee Sandy Creek OR Coal Creek OR Comelys Branch OR Coyanosa Draw OR Curtis Canyon OR Delaware Creek OR CAPS(Devils) OR Elephant Butte Reservoir OR Falcon Lake OR Flat Rock Creek OR Gallinas OR Garrison Creek OR Gold Gulch OR Graveyard Canyon OR Guayo OR Howard Draw OR Independence Creek OR Jonson Draw OR Lake Avalon OR Lake Summer OR North Cheyenne Creek OR North Clear Creek OR Pecos OR Pellejas OR Pinto Creek OR Red Bluff Lake OR Rio Blanco OR Rio Chuma OR Rio Felix OR Rio Grande OR Rio Grande De Arecibo OR Rio Grande Reservoir OR Rio Hondo OR  Rock Arroyo OR Rio Penasco OR Rio Puerco OR Rio Salado OR Rio San Jose OR Salt Creek OR San Carlos  OR Santa Fe OR South Brady Creek OR Toyah Creek OR Toyah Lake OR Trinchera Creek OR CAPS(Vacas) OR Venturo Creek OR Washington Creek OR Williams Creek,RGNA,Rio Grande (North America),N,,,,
CAPS(Rio Grande) OR CAPS(Grande) OR Hurtado,RGSA,Rio Grande (South America),N,,,,
Rach Giang Thanh,RGTH,Rach Giang Thanh,N,,"2,792",,
Rhine OR Meuse OR Aare OR Birs OR Boden see OR Lake Constance OR Diechterbach OR Goschener-reuss OR Hinter rhein OR Oberaarbach OR Reuss OR Rhein da Medal OR Russein OR Sarine OR Toss OR Tscherzisbach OR Vorder rhein OR Zurich see OR Aa OR Aar OR Ahr OR Andrift OR Dreilagerbach OR Eder OR Elz OR Erft OR Glan OR Issel OR Kall OR Kinzig OR Kyll OR Lahn OR Lenne OR Main OR Mosel OR Moselle OR Murg OR Nahe OR Nidda OR Nidder OR Nister OR Perlenbach OR Rehbach OR Ruhr OR Rur OR Schwalm OR Sieg OR Taaber OR Wetter OR Wied OR Wiese OR Ain OR Etang de Lachaus see OR Ill OR Moder OR Orne OR Rhin OR Saar OR Thur OR I Jssel OR Lek OR Linge OR Nederrijn OR Nieuwe Maas OR Waal,RHIN,Rhine-Meuse,N,,,,
Lake Geneva OR CAPS(Rotten) OR Aigues OR Ain OR Arc OR Ardeche OR Arly OR Asse OR Balaing OR Buech OR Cenise OR Dorinet OR Doron De Beaufort OR Doubs OR Drac OR Drome OR Durance OR Eau D'Olle OR Fier OR Flumet OR Gees OR Geez OR Grosne OR Infernet OR Lac d'anneay OR Lac de Serre-ponson OR Lac du Bourget OR Lac Leman OR Lone OR Poncellamont OR Rhone OR Riou OR Rious Gras OR Romanche OR Saone OR Torrent de la Sassiere OR Verdan OR Veyle OR Isere,RHON,Rhone,N,,,,
Sabi OR Lake Muririkwi OR Maroro OR Mukwadzi OR Munene OR Muneni OR Musongwa OR Mutirikwi OR Mutorashanga OR Mwarazi OR Ngezi OR Odzani OR Odzi OR Runde OR Squatodzi,SABI,Sabi,N,,"8,283",,
Santa Clara,SACL,Santa Clara,N,,"10,000+",,
Nha Be OR Saigon OR Song Vam Co Dong,SAIG,Nha Be-Saigon-Song Vam Co Dong,N,,"2,083",,
Salween OR Kuke OR Hsim OR Inle Lake OR CAPS(Ma) OR Nanding OR Pang OR Pawn OR Pilu OR Teng OR Moei OR Nan,SALW,Salween,N,,"10,000+",,
Sassandra OR Lac de Buyo OR Lobo OR Nzo,SASS,Sassandra,N,,"1,445",,
St. Croix OR Chiputneticook,SCRO,St. Croix,N,,"2,664",,
Seine OR Aube OR Eure OR Iton OR Marne OR Oise OR Vanne OR Yonne,SEIN,Seine,N,,"10,000+",,
Senegal OR Bafing OR Bakoye OR Baoule OR Karakoro OR Kolimbine OR Ouadou OR Gorgol Blanc,SENG,Senegal,N,,"10,000+",,
Seno Union OR Serrano,SENO,Seno Union/Serrano,N,,"1,979",,
Song Tien Yen,SGTY,Song Tien Yen,N,,"10,000+",,
Shu OR Chu,SHUR,Shu/Chu,N,,,,
St. John ,SJAF,St. John (Africa),N,,,,
St. John OR Canaan OR Monquart OR Saint John OR Sisson OR Thames OR CAPS(Verde) OR Allasash OR CAPS(Eagle Lake) OR CAPS(Fish) OR CAPS(Long Lake) OR Munsungan lake OR Musquacook Lakes OR CAPS(Round Pond) OR Sqnapan Lake OR Umsaskis Lake,SJNA,St. John (North America),N,,,,
San Juan OR Chiripo OR Lagoon De Arenal OR San Carlos,SJUA,San Juan,N,,"10,000+",,
Skagit,SKAG,Skagit,N,,,,
Batoscam OR Bazin OR Beaharnois Canal OR Chaudiere OR Chicoutimi OR Chochocouane OR Coulonge OR Cross Lake OR Damoine OR Des Prairies OR Fildegrand OR Gatineau OR Gens De Terre OR Gradn Lac Victoria OR Grande Decharge OR Jacques-Cartier OR Jordan OR Kiamika OR Lac Batiscan OR Lac Byrd OR Lac Camachigama OR Lac Dandurand OR Lac des Quinze OR Lac Desert OR Lac du Fils OR Lac Dumoine OR Lac Dumont OR Lac Nemiscachingue OR Lac Poulter OR Lac Roger OR Lac Simard OR Lac St. Patrice OR Lac St. Pierre OR Lac Beaudry OR Lac Brule OR Lake Temagami OR Lake Timiskaming OR Lake Wayagamac OR Larder Lake OR Lievre OR Madawaska OR Manicouagan OR Matabitchuan OR Michipicoten OR Mississagi OR Mistigougueche OR Mitchinamecus OR Mitis OR Montreal OR CAPS(Noire) OR Outaouais Inf. OR Outardes OR Pend D'Oreille OR Peribonka OR Prairies OR River Des OR Du Lievre OR Red Ceder Lake OR Baskatong OR Cabonga OR Decelles OR Dozois OR Richelieu OR Rideau OR Riviere Des Quinze OR Ruisseau La Loutre OR Saguenay OR Saquenay Petite OR Shipshaw OR St. Maurice OR CAPS(Trout Creek) OR Victoria OR CAPS(White Bear) OR Winnepeg OR CAPS(Cranberry Lake) OR East Branch Oswegatchie OR Lake Champlain OR Lake George OR Lake Ontario OR Menominee OR Niagara OR Ottawa OR CAPS(Pine Creek) OR Raquette OR St. Lawrence OR Surannac Lakes,SLAW,St. Lawrence,N,,,,
San Martin,SMAR,San Martin,N,,"10,000+",,
St. Paul OR Diani,SPAU,St. Paul,N,,"10,000+",,
Stikine OR Chutine OR Kinaskan Lake OR Klappan OR Pitman OR Spatsizi OR Tahltan OR Tahltan Lake OR Tanzilla OR Tumeka Lake OR Tuya,STKN,Stikine,N,,,,
Tagus OR A Campon OR Alagon OR Alberche OR Algodor OR Arroyo Canares OR Arroyo de la Venta OR Arroyo Esparragalejo OR Arroyo Helechal OR Embalse de Alcantara I OR Embalse de Alcantara II OR Embalse de Borbollon OR Embalse de El Vado OR Embalse de Entrepenas OR Embalse de Gagriel y Galan OR Embalse de Rosarito OR Embalse de Santillana OR Embalse de Buendia OR Embalse del Burguillo OR Fresnera OR Generala OR Guadarrama OR Guadiela OR Guadiloba OR Henares OR Jarama OR Jartin OR Lozoya OR Manzanares OR Navalmedio OR Pradera OR Salor OR Tajo OR Tajo y Sever OR Tajuna OR Tamuja OR Tietar OR Yedra OR Alva OR Barragem de Cabril OR Barragem de Maranhao OR Barragem de Montargil OR Barragem de Pracana OR Embalse De Cedillo OR Erges OR Mondego OR Muje OR Ocreza OR Ponsul OR S. Vicente OR Seda OR Sever OR Soa OR Sor OR Sorraia OR Tejo OR Toulica OR Zezere,TAGU,Tagus/Tejo,N,,,,
Taku OR Inklin OR Nahlin OR Nakina OR Shes Lay OR Sloko,TAKU,Taku,N,,,,
Tana OR Anarjohka OR Karasjokka,TANA,Tana,N,,,,
Shatt al Arab OR Dez OR Dicle OR Euphrates OR Karun OR Kashkan OR Lesser Zab OR Simareh OR Sultansuyu OR Tigris OR Tigris Khabur OR Al'Uzaym OR Aq Su OR Diyala OR Habbaniyah Lake OR Hawr al Awadh OR Hawr al Hammar OR Hawr as sa' diyah OR Hawr as saniyah OR Hawr as Sunwayquyah OR Razzaza Lake OR Sha'ib Hasb OR Tawuq Chay OR Tharthar Lake OR Wadi al Mani OR Wadi al Ubayyid OR Wadi Amij OR Wadi ar Patqah OR Wadi at Tubal OR Wadi Hawran OR Wadi Mulshi OR Wadi 'Ukash OR Zab al Kabir OR Zab assaghir OR Little Zab OR Wadi al Batin OR Wadi al Khurr OR Wadi Arar OR Wadi atTubal OR Wadi Hamir OR Buhayrat al Asad OR Sajur OR Wadi Shatnat as Salmas OR Frat OR Great Zab OR Khabur OR Murat OR Nizip OR Peri OR Tohma,TIGR,Tigris-Euphrates/Shatt al Arab,N,,,,
Tijuana,TIJU,Tijuana,N,,,,
Tuloma OR Iova OR Kovda OR Lotta OR Paz OR Tuloma OR Verhnetulomskoe OR Voroniya,TULM,Tuloma,N,,,,
Vanimo OR CAPS(Green),VAGR,Vanimo-Green,N,,,,
Vijose OR Brete OR Caush OR Cekreze OR Cycen OR Divjak OR Drin OR Dukaj OR Dushk OR Erzen OR Gadurove OR Germet OR Gjanice OR Gjokaj OR Gjynagal OR Holte OR Karbunar OR Kryekugi OR Malthike OR Manastir OR Manasufaj OR Morush OR Murriz OR Nashies OR P. madh OR Paskugan OR Pellg OR Perit OR Petresh OR Peze OR Prroi I zi OR Prroji arrave OR Prroji buzit OR Prroji zi OR Purrez OR Sauk OR Shegas OR Shkumbin OR Shupal OR Skrevanit OR Subloze OR Suka OR Tapize OR Teplas OR Terkuze OR Tirane OR Tomorrice OR Uji mbare OR Vashaj OR Vinokash OR Vrap OR Zajce OR Zh.I kuq OR Aoos OR Vjose,VJSE,Vijose,N,,Unable to download excel,,
Volga OR Sheksna,VOLG,Volga,N,,,,
Volta OR Massili OR Mouhoun OR CAPS(Black Volta) OR Nakanbe OR CAPS(White Volta) OR Nazinon OR CAPS(Red Volta) OR Nkambe OR Volta Blanche OR Daka OR Kulpawn OR Oti OR Tono,VOLT,Volta,N,,,,
Vistula OR Wista OR Lyasnaya OR Mukhavyets OR Ryta OR Biata OR Biatka OR Bug OR Bystrzyca OR Bzura OR Czarna OR Drweca OR Dtubnia OR Dunajec OR Itzanka OR Jezioro Jeziorak OR Jeziorka OR Krzna OR CAPS(Leg) OR Liwiec OR Lubuczowka OR Mtawka OR Nida OR Nurzec OR Ostaroa OR Pilica OR Raba OR Radomka OR Rzadza OR CAPS(San) OR Skrwa OR Sona OR Swider OR Wieprz OR Wistok OR Wistoka OR Wkra OR Wolica OR Zielawa OR Ozera Svityaz'ka,VSTL,Vistula/Wista,N,,,,
Whiting,WHIT,Whiting,N,,,,
Aros OR Laguna de los Mexicanos OR Nacozari OR Papigochic OR Presu de la Angostura OR Santa Maria OR Tomochic OR Tutuaca OR Yaqui,YAQU,Yaqui,N,,,,
Jenisej OR Yenisey OR Angara OR Bakhta OR Bol Kheta OR Braskove Vdkhr OR Chadobets OR Chuna OR Egiyn OR Hanuy OR Ider OR Ilim OR Irkut OR Kan OR Kas OR Kochechan OR Nidym OR Nizhnyaya Tunguska OR Oka OR Ornon OR Oz. Keta OR Oz. Khantayskoye OR Oz. Pyasino OR Oz. Agaa OR Ozero Baykal OR Ozero Lama OR Podkamennaya Tunguska OR Selenge OR Sym OR Taymura OR Tembenchi OR Turu OR Tutonchana OR Uchami OR Uda OR Vel'mo OR Vivi OR Yeloguy OR Yenisei,YNSY,Jenisej/Yenisey,N,,,,
Arm OR Atlin Lake OR Bennett Lake OR CAPS(Big Creek) OR Big Kalzas Lake OR CAPS(Big Salmon) OR CAPS(Brooks Arm) OR Chandindu OR Claire Lake OR Diamain Lake OR Donjek OR Drary Lake OR Earn Lake OR Fortymile OR Frenchman Lake OR Gladys Lake OR Jennings OR Jennings Lakes OR Kalzas OR Klondike OR Kluane Lake OR Laforce Lake OR CAPS(Lake Creek) OR Lake Laberge OR Little Atlin Lake OR CAPS(Little Salmon Lake) OR CAPS(Long Lake) OR Magundy OR CAPS(Mayo) OR CAPS(Moose Lake) OR N. CAPS(Big Salmon) OR Nisling klaza OR Nisultin Lake OR Nisutlin OR Nome Lake OR Nordenskiold OR Pelly OR CAPS(Quiet Lake) OR Sixty mile OR Stewart OR Stokes Lake OR Surprise Lake OR Swift OR Tagosj Lake OR Talbot Arm OR Tatlman Lake OR Tay OR Teslin Lake OR Tincap Lake OR Tutshi Lake OR Wellesley Lake OR CAPS(White) OR CAPS(Wolf Lake) OR Yukon OR Alatna OR Andreafsky OR CAPS(Bear Creek) OR CAPS(Beaver Creek) OR CAPS(Big Creek) OR CAPS(Big Creek Diversion) OR CAPS(Big Mud) OR CAPS(Birth Creek) OR CAPS(Black) OR Bonasila OR CAPS(Bull Creek) OR Chandalar OR Chandalar Lake OR Charley OR Chena OR Chisana OR Chitanana OR Christian OR Clear Creek OR Cosna OR CAPS(Crow) OR Curlew Lake OR Dakli OR Dalbi OR Dall OR Dela OR Dennison Fork OR CAPS(Dry Creek) OR East Fork Chandalar OR East Fork Andreafsky OR CAPS(Fish Creek) OR CAPS(Fish Lake) OR CAPS(Flat Creek) OR Foraker OR Forty mile OR Gisasa OR Goodpaster OR CAPS(Grass) OR Grayling Fork OR Hadweenzic OR Healy OR Healy Lake OR Henshaw Creek OR Herron OR Hess Creek OR Hodzana OR Hogatza OR Huslia OR CAPS(Indian) OR Indian Creek OR Iniakuk OR Innoko OR Jarvis Creek OR Jim OR John OR Junjik OR Kanati OR Kandik OR Kantisnna OR Kateel OR Kaum Lake OR Khotol OR Kobuk OR Koness OR Koyukuk OR Kulik Lake OR Ladue OR Lake George OR Lake Minchumina OR Litte Melozitna OR Little Black OR Little Delta OR CAPS(Little Mud) OR CAPS(Lost) OR Lost Creek OR Lower Mouth OR Marten Creek OR Mckinley OR Melozitna OR Middle Fork Fish Creek OR Middle Fork Fortymile OR CAPS(Moose Creek) OR Mosquito Fork OR CAPS(Mud Creek) OR N. Fork Indian Creek OR N. Ladue OR N. CAPS(Fork) OR N. Fork Fortymile OR Nabesna OR Nageethluk OR Nation OR Nenana OR Nest Creek OR Norutak Lake OR Nowitna OR Nulato OR Old John Lake OR Preacher Creek OR Ray OR CAPS(Reindeer) OR Run Creek OR S. Fork koyukuk OR Salcha OR CAPS(Salmon Fork) OR Seventy mile OR Sheenjek OR Smoke Creek OR Staver Creek OR Sucker OR Sulutna OR Susulatna OR Tanana OR Tatalina OR Tatlanika OR Tatondak OR Teklanika OR Telsitna OR Tetlin Lake OR Titna OR Tok OR Toklat OR Tolovana OR Tozitna OR CAPS(Trail Creek) OR Upper Mouth OR Victoria Creek OR W. Fork Fortymile OR CAPS(Wild) OR CAPS(Wind)  OR Woman Creek OR CAPS(Wood) OR Yuki OR Zitziana,YUKN,Yukon,N,,,,
Zambezi OR Capembe OR Cuando OR Lomba OR Luangundo OR Luena OR Luiana OR Lungue-Bungo OR Lungwebunga OR Quembo OR Utembo OR Lago de Cahora Bassa OR Lake Chilwa OR Lake Malawi OR Lake Malombe OR Shire OR Basanga Swamp OR Dongwe OR Kabompo OR Lake Itezhi-Tezhi OR Linyati Chobe OR Luanginga OR Luege OR Lui OR Lukanga Swamp OR Lungwebungu OR Manyinga OR Mwom Bezhi OR Njoko OR West Lunga OR Changa OR Chirareri OR Dande OR Dere OR Dondo OR Gwayi OR Gwebi OR Kafue OR Lake Chivero OR Lake Kariba OR Manyame OR Marirangwe OR Mazowe OR Mtsike OR Munenga OR Munera OR Munganwa OR Munwa OR Munyati OR Munyera OR Munzi OR Mupfurudzi OR Mupinge OR Murowodzi OR Musengesi OR Mvumi OR Mwenje OR Nora OR Nyamanu OR Pembi OR Pote OR Nyama-shanga OR Rukute OR Ruya OR Saruwe OR Sengwa OR Serui OR Setorwe OR Shangani OR Suri Suri OR Susuje OR Umrodzi OR Umwindsi OR Vureneme OR Zambesi,ZAMB,Zambezi,N,,,,
Zapaleri,ZAPL,Zapaleri,N,,No Results,,
Allahein,ALHN,Allahein,N,,,,
Ems OR Eems OR Westerwoldse Aa OR Dollart OR Dollard OR Werse OR Munstersche Aa OR Hunze OR Drentsche Aa,EMSX,Ems,N,,,,
Loa OR Silala OR Siloli OR Inacaliri OR Cajon OR San Pedro OR Salado OR Toconce ,LOAX,Loa,N,,,,