index,Basin_terms,basin_code
,Amazon OR Apere OR Baures OR Beni OR Guapore  OR Guapore Itenex OR Lago de San Luis OR Lago Rogaua OR Madidi OR CAPS(Paragua) OR Rapulo OR San Martin OR San Miguel OR CAPS(Secure) OR Yata OR Abacaxis OR Abuna OR Acalau OR Acarai OR CAPS(Agua) Pceta OR Ajuana OR Alalau OR Anama OR Anaua OR Andma OR Apiaca OR Apiau OR Apidia OR Araca OR Araua OR Arinos OR Aripuana OR Arracias OR Arrairas OR Bacaja OR Bau OR Bia OR Brea OR Buriti OR Cach.Do Tareraimbu OR Cachoeir da Bateria OR Cachoeira Caracarai OR Cachoeira das Sete Quadas OR Cachoeira de Rebojo OR Cachoeira do Desatre OR Cachoeira do Pimena OR Cachoeira dos Indios OR Cachoeira Grande OR Cachoeira Ipada OR Cachoeira Ipanore OR Cachoeira Maranhao Grande OR Cachoeira Mergulhao OR Caluene OR Camanaa OR Camarure OR Canuma OR Capucapu OR Carabinuni OR Carajari OR Catete OR Catrimani OR Cauaburi OR Caures OR Cautario OR Chiche OR Coari OR Cotingo OR Crarari OR Crepori OR Cuiaba OR Cuiani OR Culiseu OR Cura do Sal OR Curicariari OR Curiuau OR Curu OR Curua OR Curua Una OR Curuaes OR Curuca OR Daraa OR Demini OR Demiti OR Do Paulo OR Embari OR Embira OR Fagundes OR CAPS(Ferro) OR CAPS(Fresco) OR Gregorio OR CAPS(Ia) OR CAPS(Ica) OR Igara Parana OR Imabu OR Infari OR Ipixuna OR Iriri OR Iriri Novo OR Itacuai OR Itari OR Itata OR Itaxi OR Itiguira OR Jaa OR Jamanxim OR Jamari OR Jandiatuba OR Japura OR Jaraucu OR Jari OR Jaru OR Jatapa OR Jatoba OR Jau OR Jauaperi OR Jiparana OR Jotoba OR Juina OR Jurua OR Juruena OR Jutai OR Uberaba OR de Sapucua OR do Erepeca OR Gaibo OR Grande de Manacapuru OR Mandiore OR Lago Canacari OR Liberdade OR Madeira OR Madeirinha OR Maicara OR Majari OR Mamore OR Manicana Micu OR Manso OR Mapuera OR Marapi OR Marauia OR Marie OR Maues OR Moaco OR Mucajai OR Mucucuau OR Nhamunda OR Nivo OR Padauiri OR Papagaio OR CAPS(Para) OR Paranarta OR Pareis OR Paru de Oeste OR Pauini OR CAPS(Paz) OR Peixes OR Peixoto de Azevedo OR Pinhua OR Piratucu OR Preto OR CAPS(Puras) OR Purue OR Purus OR Riozinho OR Ronuro OR Rpresa da Balbina OR Sacuriuina OR Salao OR Sangue OR Sao Benedito OR Sao Lourenco OR Sao Tume OR Sauenina OR Saueruina OR Solimooes OR Soterio OR Steinen OR Sucanduri OR Suir Micu OR Suluene OR Suramu OR Surumu OR Tamitatoula OR Batovi OR Tanguro OR Tapajos OR Tapaua OR Tapera OR Taruaca OR Tauini OR CAPS(Tea) OR Tefe OR Teles Pires  OR Sao Manuel OR Theodore Roosevelt OR Tocantins OR CAPS(Triunfo) OR Uatuma OR Uneiaxi OR Unini OR Uraca OR Uraricoera OR Uruba OR Urubaxi OR CAPS(Verde) OR Vveni OR Xeriuini OR Xie OR Xingu OR Xirua OR Yavare OR Ajaju OR Apaporis OR Caqueta OR Cuduyari OR Icana OR Isasna OR Papuri OR Quainia OR Raudal Yupurari OR Devil's Cataract OR Tiquie OR Traira OR Uaupes OR Yari OR Curaray OR Morona OR Cafuini OR Ireng OR Tacutu OR CAPS(Acre) OR Allto Purus OR Apurimac OR CAPS(Blanco) OR Chandless OR CAPS(Chili) OR Correntes OR Heath OR Huallaga OR Iaco OR Inambari OR Inuya OR Jarua OR Manu Madre de Dios OR Manuripi OR Maranon OR Moranon OR Napo OR Orton OR Pachitea OR Pampas OR Postaza OR Putumayo OR San Juan OR Santa Ana OR Santa Eulalia OR Santuario OR Sheshea OR Tamuya OR Tapiche OR CAPS(Tigre) OR Ucayali OR Urabamba OR Yavari OR Trombetas OR Biria OR Casiquiare OR Concorochite OR CAPS(Grande) OR CAPS(Negro),AMZN
,Bann OR CAPS(Black Water) OR Laugh Neagh OR CAPS(Lower Laugh) Erine,BANN
,Belize OR Mopan,BLZE
,Buzi OR Rio Revue OR Chibudzana OR Nyanhombo OR CAPS(Rio) OR Sterkstroom,BUZI
,Colorado OR CAPS(Alamo Lake) OR Alamosa OR Bartlett OR CAPS(Big) Sundy OR Bill Williams OR CAPS(Bitter Creek) OR CAPS(Blue Mesa Reservior) OR Bouse  OR Bug Chino  OR CAPS(Bullfrog) OR CAPS(Burro) Creek OR Canon Largo OR Chaco Chinle OR CAPS(Cherry Creek) OR Colorado  OR CAPS(Comb) OR CAPS(Conejos) OR CAPS(Cottonwood) OR Crtstal OR CAPS(Dad Clark Gulch) OR CAPS(Dirty Devil) OR Dolores OR Duchesne OR Schwacheim Creek OR CAPS(East Bitter Creek) OR CAPS(East Verde) OR Escalante OR Florida OR Fremont OR Gannison OR Gila OR CAPS(Green) OR Halls Creek OR Hassayampu OR Imperial Reservior OR Kanab Creek OR Lake Havase OR Lake Mead OR Lake Mohave OR Lake Powell OR CAPS(Los Pinos) OR Mancos OR CAPS(Moon Lake) OR CAPS(Muddy Creek) OR Navajo Reservior OR OR CAPS(Nine Mile Creek) OR CAPS(Oak Creek) OR Paria OR Piceance Creek OR Pinon Canyon Arroyo OR CAPS(Price) OR Purgatoire OR Roan Creek OR Roaring Fork OR Rock Creek OR Sacramento OR San Juan OR San Miguel OR San Rafael OR Santa Maria OR Senac Creek OR Show Low Creek OR Stinking Lake OR Strawberry Reservior OR CAPS(Taylor) OR Trout Creek OR Uinta OR Uncompahagre OR  OR West Toll Gate Creek OR  OR CAPS(Willow Creek) OR CAPS(Yellow Creek),CLDO
,Congo OR Zaire OR Cambo OR Chiumbe OR Cuilo OR Luangue OR Lui OR Uamba OR Borodo OR Chinko OR Kotto OR Lim OR Lobaya OR Mambere OR Mbali OR Mbari OR Mpoko OR Ouaka OR Ouarra OR Pama OR Bek OR Boumba OR Boumbe II OR Dja OR Doume OR Kadei OR Aka OR Aruwimi OR Asa OR Bakali OR Bilati OR Bili OR Bima OR Bolmobo OR Bomu OR Bushmaie OR Bwere OR Chicapa  OR Damu OR Dengu OR Dua OR Dungu OR Duru OR Ebola OR Elila OR Fimi OR Gada OR Gangu OR Garamga OR Giri OR Gurba OR Gwane OR Ibina OR Ikelemba OR Inzia OR Itimbiti OR Ituri OR Kama OR Kaongesh OR Kapili OR Kasai OR Cassai OR Kibali OR Kwango OR Cuango OR Kwenge OR Kwilu OR Lac de Retenue OR Lac Mai Ndombe OR Lac Ntomba OR LacUpembo OR Lake Mweru  OR Lenda OR Likati OR Lindi OR Loange OR Loile OR Lokolo OR Lokoro OR Lomako OR Lomami OR Lomlera OR Lopori OR Lovua OR Luachimo OR Lualaba OR Luama OR Lubadi OR Lubefu OR Lubi OR Lubilash OR Lubudi OR Lubue OR Lubuero OR Luembe OR Lueo OR Lueob OR Lueta OR Lufira OR Luilaka OR Luilu OR Luizi OR Lukashi OR Lukeni OR Lukuga OR Lukunga OR Lulonga OR Lulua OR Lupweji OR Lushiko OR Lutshima OR Luvidjo OR Luvua OR Maiko OR Maringa OR Momboyo OR Mongala OR Nagaya OR Nava OR Nepoko OR Nzoro OR CAPS(Oso) OR Pool Malebo OR Rubi OR Ruki Bushira OR Salonga OR Sankuru OR Shiuapa OR Tele OR Tshopo OR Ubangi OR Oubngai OR Uele OR Uere OR Ulindi OR Wamba OR Yenge OR Alima OR Djoue OR Elia OR Ibenga OR Kandeko OR Kouyou OR Lefini OR Lengoue OR Likouala OR Likuala OR Lowa OR Lugulu OR Mambili OR Opa OR Motaba OR Ngoko OR N'keni OR Oubangi OR Ubungi OR Sangha OR Lake Bangweula OR Lake Mweru Luapula OR Luapula,CNGO
,CAPS(Coco) OR Segovia OR Amaka OR Bocay OR Waspuk,COCO
,CAPS(Copper),COPR
,Corovode OR Flog OR Prishte OR Almbach OR Attersee OR Danube OR Donau OR Drau OR Enns OR Fischa OR Freibach OR Glan OR Gurk OR Hollersbach OR Ill OR Kamp OR Lutz OR Moell OR Mur OR Murz OR Naarn OR Otzaler Ache OR Piesting OR Salza OR Steyr OR Stubache OR Traisen OR Traun OR Traunsee OR Wagrainer Ache OR Worther See OR Ybbs OR Zamser Bach OR Zemm OR Ziller OR Dabnika OR Dere OR Iskar OR Iskur OR Lajenska bara OR Lom OR Lomoashko dere OR Ogosta OR Osum OR Rositsa OR Skut OR Tuchenishka reka OR Vit OR Yantra OR Yazovir A. Stamboliyski OR Yazovir Iskur OR Drinjaca OR Musnica OR Vrba OR Jihlava OR Morava OR Jihalva OR Markovka OR Sveceny potok OR Svratka OR Amper OR Asenbach OR Breg OR Brigach OR Chamb OR Chiem see OR Forvven see OR Glonn OR Gunz OR Iller OR Ilz OR Isar OR Lech OR Naab OR Paar OR Riss OR Rot OR Rott OR Rottach OR Salzach OR Vils OR Walchen see OR Wertach OR Zusam OR Bednja OR Karasica OR Vuka OR Balaton OR Ipoly OR Kapos OR Koppany OR Koros OR Lajta OR Leitha OR Marcal OR Raba OR Sarviz sio OR CAPS(Sio) OR Szaraz Er OR Velencei To OR CAPS(Inn) OR Spol OR Ialpag OR  Amaradia OR Arges OR Bahluet OR Bahlui OR Barzava OR Basca mare OR Baseul OR Batul OR Bega OR Belareca OR Berheci OR Bicaz OR Birlad OR Bistra OR Bistrita OR Bistrita Ardealului OR Bizaya OR Borcea OR Brarul Salina OR Bratul Chilia OR Bratul Sfintu Gheorghe OR Buzau OR Calmatui OR Cerna OR Cernas OR Colentina OR Cotorca OR Cumpana OR Desnatui OR Dimbovita OR Doamnei OR Drincea OR Dunarea OR Gilort OR Gologan OR Gurguiata OR Ialomita OR Jijia OR Jiu OR Callarasi OR Lacal Brates OR Lacul Cabal OR Lacul Greaca OR Lacul Potelu OR Lacul Suhaia OR Lisova OR Moldova OR Mostistea OR Mostru  OR Motru OR Mures OR Maros OR Neajlov OR Olanesti OR Olt OR Oltet OR Pereschiv OR Podriga OR Poganis OR Prahova OR Putna OR Raul Doamnei OR Rimna OR Rimnic OR Sebes OR Simila OR Sitna OR Suceave OR Teleorman OR Timis OR Tutova OR Valea Seaca OR Valsan OR Vedea OR Cierny Vah OR Dunaj OR Jablonianka OR Teplicka OR  OR Drava OR Ipel OR Ipoli OR Hron OR Nitra OR Vah OR Cheremosh OR Ozero Kahul OR Ozero Katlabukh OR Ozero Kytay OR Ozero Yapuh OR Prut OR Siret OR Beli Rzav OR Beli Timok OR Binacka Morava OR Bosut OR Brzava OR Caras OR Cehotina OR Crni Radalj OR Detinja OR Drina OR Grliska Reka OR Ibar OR Jablanica OR Jadar OR Jasenica OR Juzna Morava OR Kolubara OR Krivaja OR Lim OR Lipovica OR Mlava OR Moravica OR Nisaua OR Pek OR Piva OR Raska OR Resava OR Sava OR Silinica OR Tamis OR Tamnava OR CAPS(Tara) OR Timok OR Tisa OR Toplica OR Uvac OR Velika Morava OR Zapadna Morava,DANU
,Dnieper OR Byarezina OR Pinsk Marshes OR Ptsich OR Sozh OR Iput' OR Desna OR Dniepr OR Horyn' OR Inhulets OR Kremenchats'ke Vdskh OR Prypyats' OR Ps'ol OR Seym OR Sluch OR Snov OR Stokhid OR Styr OR Sula OR Uzh OR Vopskla OR,DNPR
,Drysa OR Dzirina Zakh OR Dzisna OR Voz Drysvyaty OR Voz Snudy OR Levuo OR Aiviekeste OR Berze OR Daugava OR Lecaba OR Lielupe OR Lubanas Ezers OR Lucava OR Maita OR Memele OR Misa OR Musa OR Ogre OR Pededze OR Reznas Ezers OR Rusonu Ezers OR Sivera Ezers OR Svete,DUGV
,Fraser OR Adams OR Adams Lake OR Akie OR Baezaeko OR CAPS(Big Creek) OR CAPS(Blueberry) OR Bonaparte OR Bowron OR Cameron OR Canim Lake OR Carp Lake OR Chilcotin OR Chilko OR Chilko Lake OR Chillwack OR Chillwack Lake OR Crooked OR Doig OR CAPS(Driftwood) OR Eutsuk Lake OR Finlay OR Francois Lake OR Gamsby OR CAPS(Gardner Canal) OR CAPS(Graham) OR CAPS(Green) Lake OR CAPS(Halfway) OR Herrick OR CAPS(Horsefly) Lake OR Ingenika OR Kitlope OR Kwadacha OR Lillooet Lake OR Mabel Lake OR Maligne Lake OR Mc Gregor OR McLeod Lake OR Mesilinka OR Milligan Creek OR Murphy Lake OR Murtle Lake OR Nachako OR Nation OR Nazko OR Nechako OR Nechako Reservoir OR Nicola OR North Thomson OR Omineca OR Ootsa Lake OR Osilinka OR Ospika OR CAPS(Peace) OR Pinchi Lake OR CAPS(Pine) OR Quesnel OR Quesnel Lake OR CAPS(Salmon) OR Shuswap Lake OR Skagit OR Stuart OR Stuart Lake OR Takla Lake OR Taseko OR Testachuck Lake OR Thomson OR Tohtsa Lake OR Trenbleur Lake OR Tsacha Lake OR West Road OR Whit Sail,FRSR
,Affluent du Lot OR Agout OR Alrance OR Ariege OR Arrats OR Aveyron OR Bage OR Baise OR Ceret OR Cerou OR Dadou OR Dourdou OR Dropt OR Garonne OR Gelise OR Gers OR Gesse OR Gimone OR Labenede OR Lezert OR Lot OR Osse OR Save OR Tarn OR Tolerme OR CAPS(Touch) OR Truel OR Truyere OR Valescure OR Vebre OR Viaur OR Vioulou OR Ardila OR Campilhas OR Chanca OR Cobres OR Dogeba OR Odivelas OR Roxo OR Vale Diogo OR Vascao OR Xarrama,GRON
,CAPS(Great) Scarcies,GSCR