index,basin_number,search_terms,basin_code,basin_name,basin_count,search_completed,preliminary_review,search_notes,over_ten_thousand,finished
89,89,Ganges OR Brahmaputra  OR Meghna OR Jamuna OR Yarlung OR Raka OR Maquan OR Yi'ong OR Arunavati OR Baitha Nalla OR Banjari Nalla OR Barotha Nalla OR Basuki OR Betwa OR Bhat OR Bhima OR Bhudna Nalla OR Bora Nala OR Bori Nalla OR Bori OR Brah Maputra OR Buchaopa Nala OR Budhabudiani OR Chakar OR Chambal OR Chandrakeshar OR Deogud OR Dhu'sia Nalla OR Dibgrajheda OR Dihang OR Dongrakheda OR Erai OR Gamori OR Gandak OR Ganji OR Gej OR Ghaghara OR Ghod OR Ghunghutta OR Gomati OR CAPS(Human) OR Jamni OR Jhumka OR Jhura OR Kanoli OR Kans OR Ken OR Khakra Jore OR Khaprar Nalla OR Kharpara OR Kims Nalla OR Koop Nalla OR Kundan Nalla OR Lakheri OR Local Drain OR Manas OR Mandale OR Maska Nalla OR Mayurakshi OR Momanpura OR Moti Nalla OR Mutki OR Nagda Nalla OR Negri OR Pahuj OR Paras OR Paronch OR Pathrai OR Phon OR Pip Nalla OR Rajewasti OR Rohini OR Sagar Betwa OR Sajnam OR Sampna OR Saprar OR Sarda OR Shahjad OR Shetfal Nalla OR Sijar OR Sind OR Sindh Nalla OR Sindh Yamuna OR Son OR Songhua OR Subarnarekha OR Surhi OR Takli Kheda OR Tapti OR Tisla OR Uttari Stream OR Vel OR Yamuna OR Arun OR Karnali OR Sapt Kosi OR Sun Kosi OR Tamur,GANG,Ganges-Brahmaputra-Meghna,,N,N,,,0
90,90,Gash,GASH,Gash,,N,N,,,0
91,91,Geba OR Corubal OR Kayanga,GEBA,Geba-Corubal,,Y,N,,,1
92,92,Grijalva OR Grijalva OR CAPS(Azul),GJLV,Grijalva,,N,N,,,0
93,93,Glama,GLAM,Glama,,Y,N,,,1
94,94,Galana,GLNA,Galana,,Y,N,,,1
95,95,Golok,GLOK,Golok,,Y,N,,,1
96,96,Goascoran,GOSR,Goascoran,,Y,N,,,1
97,97,Affluent du Lot OR Agout OR Alrance OR Ariege OR Arrats OR Aveyron OR Bage OR Baise OR Ceret OR Cerou OR Dadou OR Dourdou OR Dropt OR Garonne OR Gelise OR Gers OR Gesse OR Gimone OR Labenede OR Lezert OR Lot OR Osse OR Save OR Tarn OR Tolerme OR CAPS(Touch) OR Truel OR Truyere OR Valescure OR Vebre OR Viaur OR Vioulou OR Ardila OR Campilhas OR Chanca OR Cobres OR Dogeba OR Odivelas OR Roxo OR Vale Diogo OR Vascao OR Xarrama,GRON,Garonne,,N,N,,,0
98,98,Gruzskiy Yelanchik,GRYE,Gruzskiy Yelanchik,,N,N,No Results,,0
99,99,CAPS(Great) Scarcies,GSCR,Great Scarcies,,N,N,,,0
100,100,Guadiana,GUDN,Guadiana,,Y,N,,,1
101,101,Guir,GUIR,Guir,,Y,N,,,1
102,102,Gauja,GUJA,Gauja,,Y,N,,,1
103,103,Anpyung OR Banbyon OR Bongjeon OR Buk OR Chachon OR Chongyong OR Chungdo OR Dae OR Donghwa OR Eumsung OR Gabsan OR Geumho OR Geumpo OR Gisegok OR Guan OR Gugeo OR Gumi OR Gupyung OR Gyungho OR CAPS(Han) OR Hangye OR Ieon OR Ilgwang OR Janggok OR Jangsu OR Jasan OR Jinchon OR Jinwi OR Jongri OR Joryong OR Jungdong OR Milwon OR Mulchi OR Munam OR Myungam OR Naega OR Naesung OR Nakdong OR Namhan OR Pumgok OR Sagae OR Samgi OR Seokhwa OR Soga OR Suyeong OR Suyong OR Wangjwa OR Woldong OR Yo OR Yongchon OR Yongge OR Yongwoon OR Chongryong OR Hanchon,HANX,Han,,N,N,,,0
104,104,Hari OR Harirud,HARI,Hari/Harirud,,N,N,,,0
105,105,Hamun I Mashkel OR Rakshan,HIMR,Hamun-i-Mashkel/Rakshan,,Y,N,Results only availabel for years 2014-2019,,1
106,106,Ab-e Istadeh-ye OR Arghanadab OR Dasht-e Nuvar OR Hamuh-e  Puzak OR Helmand OR Rowd-e Lurah OR Tarnak OR Kor OR Sivand,HLMD,Helmand,,N,N,,,0
107,107,Hondo OR CAPS(Azul) ,HOND,Hondo,,N,N,,,0
108,108,Har Us Nur,HRUN,Har Us Nur,,N,N,,,0
109,109,Hsi OR Bei Jiang OR Dachun He OR Lian Jiang OR Liangjiang OR Maotiao He OR Miaotiaohe OR Sancha He OR Sanchahe OR Weijang OR Wengjiang,HSIX,Bei Jiang/Hsi,,Y,N,,,1
110,110,Incomati OR Komati,ICMT,Incomati,,Y,N,,,1
111,111,Ili OR Kunes He OR Illi OR Malaya Almaatinka,ILIX,Ili/Kunes He,,Y,N,,,1
112,112,Indalsalven,INDL,Indalsalven,,Y,N,,,1
113,113,Indus OR Shiqnan OR Aarzan Garzan OR Beas OR Bodhegaon OR Gilgit OR Jogwada OR Koyna OR Kundlika OR Saraswati OR Sindphana OR Chenab OR Haro OR Jamergal OR Jhelum OR Kabul OR Khal Kass OR Kundar OR Manch har Lake OR Nain Sikh OR Ravi OR Saddle Dam OR Sutlej OR Swat OR Tain Pura OR Zhob,INDU,Indus,,N,N,,,0
114,114,Irrawaddy OR Daying OR Long Chuan OR Thoubal Turel OR Logtak Lake OR Chidwin OR Chindwin OR Chinthe OR Gedu OR Heinhtun OR Iudawgyi Lake OR Kaukkwe OR Kiu OR Kodan OR Lang OR CAPS(Ma) OR Mali OR Manipur OR Meza OR CAPS(Mon) OR Mu OR Myitnge OR Myittha OR Nampak OR Namyin OR Nat E-zu OR Nmai OR Pani OR Schweli OR Tainggwin OR Tamai OR Tarung OR Tizu-Nantaleik OR Uyn OR CAPS(Yao) OR CAPS(Yu) OR Zahaw,IRWD,Irrawaddy,,N,N,,,0
115,115,Isonzo OR Soca,ISNZ,Isonzo,,Y,N,,,1
116,116,Jayapura,JAPR,Jayapura,,Y,N,,,1
117,117,Jacobs,JCBS,Jacobs,,N,N,,,0
118,118,Jordan OR CAPS(Dead Sea) OR Sea of Galilee OR Nahr az Zarga OR Wadi al Jaydyb OR Yarmuk OR Hasbani,JORD,Jordan,,N,N,,,0
119,119,Juba OR Shibeli OR Baua OR Daketa OR Fafen OR Genale OR Jerer OR Ramis OR T'er OR Wabe Gestro OR Wabe Shebele OR Welmel OR Dawa OR Madax Gooy OR Webi Shabelle,JUBA,Juba-Shibeli,,N,N,,,0
120,120,Jurado,JURD,Jurado,,Y,N,,,1
121,121,Kaladan,KALD,Kaladan,,Y,N,,,1
122,122,Kemi OR Alasuolijarvi OR Askanjoki OR Jeesiojoki OR Juotasjoki OR Kemijoki OR Kemiyari OR Kitinen OR Luiro OR Luirojoki OR Ounasjoki OR Porttipahata Reservoir OR Unari,KEMI,Kemi,,Y,N,,,1
123,123,Kogilnik,KGNK,Kogilnik,,Y,N,No Results Were Found in Search ,,1
124,124,Komoe OR Bayakokore OR Iringou OR Leraba-Occidentale OR,KMOE,Komoe,,Y,N,,,1
125,125,Karnaphuli OR Karnafuli,KNFL,Karnaphuli,,Y,N,,,1
126,126,Kowl E Namaksar,KOWL,Kowl E Namaksar,,N,N,,,0
127,127,Krka,KRKA,Krka,,Y,N,,,1
128,128,Klaralven OR Lettan OR Ore alv,KRLV,Klaralven,,Y,N,,,1
129,129,Kunene OR Cunene OR Caculuvar,KUNE,Kunene,,Y,N,,,1
130,130,Kura OR Araks OR Azat OR Lori OR Mingacevir Reservior OR Aragvi OR Iori OR Khrami OR Ahar OR Ajy Chay OR Aras OR Qareh,KURA,Kura-Araks,,N,N,,,0
131,131,Lava OR Pregel,LAVA,Lava/Pregel,,Y,N,,,1
132,132,Laguna Filaret,LGFL,Laguna Filaret,,Y,N,,,1
133,133,Lotagipi Swamp,LGPS,Lotagipi Swamp,,N,N,,,0
134,134,CAPS(Lima) OR Laguna de Antela,LIMA,Lima,,N,N,,,0
135,135,Lake Azuei,LKAZ,Lake Azuei,,N,N,,,0
136,136,Lake Chad OR Bamingui OR Bangoran OR Bongoul OR Goro OR Gribingui OR Kamear OR Manovo OR Ouandja OR Ouham OR Oulou OR Pende OR Vakaga OR Vassako OR Yata OR Dillia OR Tegouma OR Kano OR Katagum OR Komadugu Gana OR Ngadda OR Yedseram OR Wadi Tiwal OR Ba illi OR Bahr Aoak OR Bahr Azourn OR Bahr el Ghazal OR Soro OR Bahr Ergig OR Bahr Keita OR Doka OR Bahr Salamat OR Chari OR Logone,LKCH,Lake Chad,,N,N,,,0
137,137,Lake Chilwa,LKCW,Lake Chilwa,,Y,N,,,1
138,138,Lake Cayo,LKCY,Lake Cayo,,N,N,,,0
139,139,Lak Dera,LKDR,Lak Dera,,Y,N,,,1
140,140,Lake Enriquillo,LKEQ,Lake Enriquillo,,N,N,,,0
141,141,Lake Fagnano,LKFN,Lake Fagnano,,N,N,,,0
142,142,Lake Natron OR Ewaso Ng'iro,LKNT,Lake Natron,,N,N,,,0
143,143,Lake Prespa OR Frankovishte OR Grabovice OR Grunjas OR Hyle OR Jame OR Mujaz OR P.pusave OR Plloce OR Stropske OR Vakefi,LKPP,Lake Prespa,,N,N,,,0
144,144,Lake Rukwa,LKRW,Lake Rukwa,,Y,N,,,1
145,145,Lake Sarygamesh,LKSG,Lake Sarygamesh,,N,N,,,0
146,146,Lake Titicaca Poopo OR Lagoon Arapa,LKTC,Lake Titicaca-Poopo System,,Y,N,No Results Were Found in Search ,,1
147,147,Lake Turkana OR Ch'eq bahr OR Gojeb OR Omo OR Ferguson's Gulf OR Lotagipi Swamp OR Turkwel,LKTK,Lake Turkana,,Y,N,,,1
148,148,Lake Ubsa OR Nur,LKUN,Lake Ubsa-Nur,,N,N,,,0
149,149,Lielupe OR Levuo OR Musa OR Berze OR Lecava OR Memele OR Misa OR Svete,LLUP,Lielupe,,Y,N,,,1
150,150,Lough Melvin,LMEL,Lough Melvin,,Y,N,,,1
151,151,Lempa OR Lago de Guya OR CAPS(Grande) OR  Embalse Cerron Grande,LMPA,Lempa,,N,N,,,0
152,152,Limpopo OR Changane OR Elands OR Great Brak OR Great Letaba OR Klein Olifants OR Olifants OR Oompies OR Bubi OR Insiza OR Mchabezi OR Mtshabezi OR Mwenezi OR Shashe OR Thali OR Tuli OR Umtsabezi OR Umzingwani,LMPO,Limpopo,,N,N,,,0
153,153,Lagoon Dos Patos OR Lagoon Mirim OR Yaguaron,LMRM,Lagoon Dos Patos-Lagoon Mirim,,Y,N,,,1
154,154,Loes,LOES,Loes,,Y,N,,,1
155,155,Loffa,LOFF,Loffa,,Y,N,,,1
156,156,CAPS(La Plata) OR Bermejito OR Cataratas del Iguaza OR Chunapampa OR CAPS(Corrientes) OR Esteros del Ibera OR Iruya OR Parama OR CAPS(Pasaje) OR Pilaga OR CAPS(Salado) OR Teuco OR Uruguay OR Banados de Otaguis OR Camblaya OR Pilaya OR Tucaraca OR Yura OR Amambai OR Apore OR Araguari OR Arantes OR Bois OR Capivara OR Cascatinha OR CAPS(Claro) OR Corrente OR Corumba OR Da Prata OR Doce OR CAPS(Grande) OR Iguacu OR Iguatemi OR Irinheima OR Itarare OR Ivai OR Jaguaribe OR Juramento OR Mata OR Meia Ponte OR Mosquito OR Mourao OR Mulungu OR Parado OR Paran OR Parana Panema OR Paranaiba OR Paranapanema OR Pardo OR Piquiri OR Piracicaba OR Pirapitinga OR Prata OR Saltodas Sete Quedas OR Santa Luzia OR Sao Joao OR Sao Marcos OR Sucaria OR Tibagi OR Tiete OR Turro OR Acaray OR Apa OR Confaso OR Iguazu OR Monte Lindo OR Negro OR Parana OR Pilcomayo OR Tebicaary OR Timane OR CAPS(Verde) OR Yapane,LPTA,La Plata,,N,N,,,0
157,157,CAPS(Little) Scarcies OR Mongo,LSCR,Little Scarcies,,Y,N,,,1
158,158,Lucia,LUCI,Lucia,,N,N,,,0
159,159,Mana OR Morro,MANA,Mana-Morro,,Y,N,,,1
160,160,Maro,MARO,Maro,,Y,N,,,1
161,161,CAPS(Massacre),MASS,Massacre,,Y,N,There may be overlapping or missing data due to having to breakdown the search by timeline intervals. **could not download last 78 documents in search**,,1
162,162,CAPS(Ma) OR Het,MAXX,Ma,,N,N,,,0
163,163,Mbe,MBEX,Mbe,,Y,N,There may be overlapping or missing data due to having to breakdown the search by timeline intervals.,,1
164,164,Medjerda OR Medjerdah,MDJD,Medjerda,,Y,N,,,1
165,165,Mekong OR Aiche He OR Bi OR Buyuan OR Chas OR Cheng Jiang OR Han Jiang OR Lianjiang OR Liu Jiang OR Long Jiang OR Mei He OR Mengliu He OR Mengmei He OR Ngom OR Qin Jiang OR Rong Jiang OR Shaping He OR Subaihe OR Weiyuan OR Wuhua He OR Wuhuahe OR Wuxi He OR Yangbi OR Yangmei He OR Za OR Zi OR  Chas OR Chbar OR Chhloug OR Chuok OR Daum OR Krieng OR CAPS(Por) OR Porong OR Preas OR Prek Thnot OR San OR Sanker OR Sen OR Slaku OR Sreng OR Srepok OR Stung O'Chral OR CAPS(Te) OR Thnot OR Tonle Sap OR Bak OR Bang Fai OR Bang-Nouan OR Beng OR Champhon OR CAPS(Don) OR Kading OR Kaman OR Khan OR Kong OR Lanong OR Lik OR CAPS(Ma) OR CAPS(Met) OR Moun OR Nam Ngum Reservoir OR Ngao OR Ngay OR Ngiap OR Ngum OR Noy OR CAPS(On) OR CAPS(Ou) OR Pak OR Payou OR Pha OR Phoun OR Pouy OR Tha OR Xang OR Xangxoy OR Xeipan OR Xeng OR Xong OR Xou OR Hka OR Loi OR Nanlei OR Nanlan OR Chi OR Hung OR Ing OR Kok OR Mong OR Mun OR Nam Pong OR Nong Han OR Pao OR Songkharam OR Ubolratna Reservoir OR Banghiang OR Co Chien OR Drang OR Han Giang OR Hardrai OR Krong OR CAPS(Sun),MEKO,Mekong,,N,N,,,0
166,166,Muhuri OR CAPS(Little) Feni ,MHRI,Muhuri (aka Little Feni),,Y,N,,,1
167,167,Anllarinos OR Boeza OR Casoyo OR Eiros OR Lona OR Mino OR Valseco OR Arnoia OR Sil OR Lor OR Bibei OR Cua OR Laguna de Antela,MINO,Mino,,Y,N,There may be overlapping or missing data due to having to breakdown the search by timeline intervals.,,1
168,168,Mira,MIRA,Mira,,Y,N,There may be overlaps or gaps in the data due to having to split the timeline into intervals in order to successfully download the documents. ,,1
169,169,Mississippi OR Milk OR CAPS(North Fork Milk) OR CAPS(South Fork Milk) OR Porcupine Creek OR Willow Creek OR Rock Creek OR Snake Creek OR Beaver Creek OR CAPS(Little Beaver Creek)  OR Frenchman OR Whitewater Creek OR Cottonwood OR Battle Creek OR Lodge Creek OR Box Elder Creek OR Big Sandy Creek OR Sage Creek OR Verdigris Couless Or CAPS(Middle Fork Milk) OR Musselshell River OR Poplar OR CAPS(West Fork Poplar) OR CAPS(West Poplar) OR CAPS(Middle Fork Poplar RIver) OR CAPS(East Fork Poplar) OR CAPS(Big Muddy Creek) OR CAPS(Smoke Creek) OR CAPS(Lake Creek) OR CAPS(Big Muddy Lake) OR CAPS(Red River)OR Ohio OR Missouri OR Arkansas OR Illinois OR Allegheny OR Tennessee OR CAPS(Salt Lake) OR Loomis Coulee OR CAPS(East Poplar) OR CAPS(Goose Creek) OR CAPS(Coal Creek) OR Morgan Creek OR CAPS(Rock Creek) OR CAPS(Horse Creek) OR La Berge Creek ,MISS,Mississippi,,N,N,,,0
170,170,Mius,MIUS,Mius,,Y,N,,,1
171,171,Moa,MOAX,Moa,,Y,N,There may be overlaps or gaps in data due to having to split the search into timeline intervals.,,1
172,172,Moho,MOHO,Moho,,Y,N,,,1
173,173,Mono OR Ogou,MONO,Mono,,Y,N,There may be some missing or overlapping data due to having to breakdown the timeline during the search,,1
174,174,Motaqua,MOTQ,Motaqua,,Y,N,No Results Were Found in Search ,,1
175,175,Maputo,MPUT,Maputo,,Y,N,There may be missing or overlapping information due to the timeline search.,,1
176,176,Murgab OR Gushgy,MRGB,Murgab,,Y,N,,,1
177,177,Maroni OR Litani Itany OR Marouini OR Ouagui OR Tampol,MRNI,Maroni,,Y,N,,,1
178,178,Maritsa OR Ovtcharitza OR Skender dere,MRSA,Maritsa,,Y,N,,,1
179,179,Mataje,MTJE,Mataje,,Y,N,,,1
180,180,Naaf,NAAF,Naaf River,,Y,N,,,1
181,181,Naatamo,NAAT,Naatamo,,Y,N,Results list saved as PDF due to small number of results,,1
182,182,Nidelva,NDLV,Nidelva,,Y,N,,,1
183,183,CAPS(Negro),NEGR,Negro,,N,N,,,0
184,184,Saskatchewan OR Amisk Lake OR Beaverhill Lake OR CAPS(Bow) OR Brazeau OR CAPS(Candle Lake) OR CAPS(Carrot) OR CAPS(Cedar Lake) OR Chin Coulee OR CAPS(Clear Water) OR Coulee OR CAPS(Eagle Creek) OR Etzikon Coulee OR Freshfield Icefield OR CAPS(Frog Lake) OR CAPS(Goose Lake) OR Kipp Coulee OR Lake Diefenbaka OR Lake Winnipeg OR CAPS(Little Bow) OR Manitoa Lake OR McGregor Lake OR Meinsinger Creek OR Minnewanka OR Nelson OR North Saskatchewan OR Oldman OR Pakowki Lake OR CAPS(Red)  OR South Saskatchewan OR Sturgeon OR CAPS(Torch) OR Travers Reservoir OR CAPS(White Fox) OR CAPS(Willow Creek) OR CAPS(Wood) OR Lake of the Woods OR Lake Sakakwer OR CAPS(Red River) of North OR Sheyenne,NELS,Nelson-Saskatchewan,,N,N,,,0
185,185,Sirba OR Lagdo Reservoir OR CAPS(Rey) OR O:Ti-n-Amzi OR Milo OR Tinkisso OR Bagoe OR Bani OR Baoule OR Lac Do OR Lac Garou OR Lac Aougoundou OR Lac Korarou OR Lac Niangay OR Lake Debo OR Vallee de L'azaouak OR Dallol Bosso OR Eliki OR Mekrou OR Dinya OR Gongola OR Gurara OR Ka OR Kaduna OR Kainj Lake OR Kam OR Katsin a Ala OR Niger OR Oli OR Sokoto OR Taraba OR Teshi OR Wase OR Zamfara OR Benue,NGER,Niger,,N,N,,,0
186,186,Nahr El Kebir,NHRK,Nahr El Kebir,,N,N,,,0
187,187,Lake Nasser OR Nile OR Abay OR Akkobo OR Angereb  OR Baro OR Beles OR Dabus OR Didesa OR Dinder OR Gilo Wenz OR Hanger OR Jema OR Rahad OR Tana Hayak OR T'is Isat Fwafwate OR Akobo OR Atbara OR Bahr el Arab OR Bahr el Ghazal OR Bahr el Jebel OR Mountain Nile OR Bahr ez Zar af OR Boro OR Busseri OR El Bahr Abyad OR El Bahr el Azraq OR Blue Nile OR Gel OR Geni OR Ibba OR Tonj OR Jur OR Kangen OR Kenamuke Swamp OR Khashm el Quiba Dam OR Knor Abu Habi OR Kobowen Swamp OR Kuru OR Lake No OR Lake Nubia OR Lol  OR Lotilla OR Nyanding OR Pibor OR Pongo OR Raga OR Raqaba ez Zarqa OR Roah OR Na'am OR Setit OR Tekeze OR Sobat OR CAPS(Sue) OR Umbelasha OR Veveno OR Wadi Amur OR Wadi el Allaqi OR Wadi el Ghalla OR Wadi el Milk OR Wadi Gabgaba OR Wadi Muqaddm OR Wau OR Yei OR Achwa OR Morotto OR Albert Nile OR Kafu OR Lake Albert OR Lake George OR Lake Kyoga OR Lake Victoria OR Nkusi OR Peger OR Victoria Nile OR White Nile OR Busizi OR Lac Kivu OR Lake Edward OR Lake Tanganyika OR Semliki,NILE,Nile,,N,N,,,0
188,188,Neman OR Byarezina OR Isloch' OR Kotra OR Mowchadz OR Shchara OR Srislach OR Usa OR Viliya OR Voz. Narach OR Voz. Srir OR Vynya OR Zal'ryanka OR Akmend OR Dievogala OR Dubysa OR Dusia OR Grauze OR Jura OR Mitura OR Nemunas OR Neris OR Nevezis OR Nova OR Obelis OR Ova OR Sesuris OR Striuna OR Susre OR Sventoji,NMAN,Neman,,N,N,,,0
189,189,Neretva,NRTV,Neretva,,Y,N,,,1
190,190,Narva OR  Peipus OR Vohandu OR Cherekha OR Kuchva OR L.Peipus OR Chudskoye Ozero OR Pskovskoye Ozero OR Sinyaya OR Utroya OR Velikaya,NRVA,Narva,,Y,N,,,1
191,191,Nestos OR Myloremma,NSTO,Nestos,,Y,N,,,1
192,192,Nyanga,NYGA,Nyanga,,Y,N,,,1
193,193,Narynka,NYNK,Narynka,,Y,N,No Results Were Found in Search ,,1
194,194,Ertix OR Ulungur Hu OR Ertis OR Marqukol OR Zaysan Koli OR Agan OR Chulm OR Dem'yanka OR Irtysh OR Iset' OR Ishim OR Katun' OR Kazum OR Ket' OR Koli' yegan OR Lisitsa OR Ob OR Om' OR Parabel OR Pelym OR Rim OR Sabun OR Tara OR Tavda OR Tobol OR Turtas OR Tym OR Uluyul OR Vagay OR Vakh OR Vasyugan,OBXX,Ob,,N,N,,,0
195,195,Oued Bon Naima,ODBN,Oued Bon Naima,,Y,N,,,1
196,196,Oder OR Lobnicky potok OR Moravice OR Barycz OR Bobr OR Grabia OR Kwisa OR Matd Panew OR Neisse OR Nysaluzyckn OR Neris OR Notec OR Nysa Klodzka OR Obra OR Odra OR Pliszka OR Prosna OR Warta OR Watna OR Widawka,ODER,Oder/Odra,,Y,N,,,1
197,197,Ogooue OR Abanga OR Aina OR Djadie OR Djouah OR Ikoy OR Ivindo OR Leconi OR Lolo OR Mvoung OR Ngounie OR Offoue OR Ouah OR Sebe,OGOO,Ogooue,,Y,N,,,1
198,198,Okavango OR Cuatir OR Cuito OR Makgadikgadi Pans OR Tandaue OR Boteti OR Lake Ngami OR Lake Xau OR Nata OR Okvango Delta OR Omatako OR Otjozondjou,OKVG,Okavango,,Y,N,,,1
199,199,Olanga OR Iijoki OR Oulujoki OR Pya Ozero,OLNG,Olanga,,Y,N,"No documents past December 31, 2019",,1
200,200,CAPS(Oral) OR Ural,ORAL,Oral/Ural,,N,N,,,0
201,201,Auob OR CAPS(Fish) OR CAPS(Ham) OR Nossob OR Olifants OR Boskloof OR CAPS(Bulk) OR Caledon OR Dwars OR Flouriespruit OR CAPS(Great Fish) OR Groot OR Groot Vloer OR Harts OR Heks OR Houdenbek OR Kaffir OR Kammanassie OR Kareekloof OR Kariega OR Kgabanyane OR Klip OR Koekedou OR Kromme OR Kruis OR Kuruman OR Laughin Water OR Leeu OR Loopspruit OR CAPS(Lower Fish) OR Mahawana OR Modder OR Molopo OR Mooi OR Nuwejaarspruit OR Oorkanste OR CAPS(Orange) OR Palmiet OR Populierbosspruit OR Quains OR Rietspruit OR Rooikloof OR CAPS(Sand) OR Sanddriftskloof OR Sandgat OR Skaap OR Smalblaar OR Swartkops OR Tarka OR Titus OR Vaal OR Vaal Dam OR Valsh OR Van Stadens OR Verneuk Pan,ORAN,Orange,,N,N,,,0
202,202,Orinoco OR Ariporo OR Bichada OR Bichado OR Bita OR Bocon OR Craro Norte OR Craw Sur OR Cusiana OR Guainia OR Guaviare OR Guayabera OR Inirida OR La Garcia OR  La Gallinaza OR Losada OR Manacacias OR Mapiripan OR Nare OR Pauto OR CAPS(Playas) OR Salto Angostara I OR Salto Angostura II OR Salto Angostura III OR Tomo OR Tuparro OR Upia OR Ura OR Apure OR Arauca OR Buria OR Capana Paro OR Caroni OR Casiquiare OR Caura OR Chivapuri OR Cinaruco OR Cojedos OR Conorochite OR Cuchiveto OR Embalse de Guri OR Embalse de Guarico OR Erbetuto OR Gaurico OR Guanare OR CAPS(Meta) OR Paco OR Paragua OR Paru OR Parucito OR Portuguesa OR Siapa OR Sipapo OR Suapure OR Ventuari,ORIN,Orinoco,,N,N,,,0
203,203,Oueme OR Okpara,OUEM,Oueme,,Y,N,,,1
204,204,Oulu,OULU,Oulu,,Y,N,,,1
205,205,Oiapoque OR Oyupock OR Camopi,OYPK,Oiapoque/Oyupock,,Y,N,,,1
206,206,Pangani,PANG,Pangani,,Y,N,,,1
207,207,CAPS(Paz),PAZX,Paz,,N,N,,,0
208,208,Peschanaya,PCHA,Peschanaya,,Y,N,,,1
