index,basin,start_date,end_date,time_duration,basin_count,over_one_thousand,finished
0,amur,1/1/08,1/31/08,30 days,,,0
1,amur,2/1/08,2/29/08,30 days,,,0
2,amur,3/1/08,3/31/08,30 days,,,1
3,amur,4/1/08,4/30/08,30 days,,,0
4,amur,5/1/08,5/31/08,30 days,,,0
5,amur,6/1/08,6/30/08,30 days,,,0
6,amur,7/1/08,7/31/08,30 days,,,0
7,amur,8/1/08,8/31/08,30 days,,,0
8,amur,9/1/08,9/30/08,30 days,,,0
9,amur,10/1/08,10/31/08,30 days,,,0
10,amur,11/1/08,11/30/08,30 days,,,0
11,amur,12/1/08,12/31/08,30 days,,,0
12,amur,1/1/09,1/31/09,30 days,,,0
13,amur,2/1/09,2/28/09,30 days,,,0
14,amur,3/1/09,3/31/09,30 days,,,0
15,amur,4/1/09,4/30/09,30 days,,,0
16,amur,5/1/09,5/31/09,30 days,,,0
17,amur,6/1/09,6/30/09,30 days,,,0
18,amur,7/1/09,7/31/09,30 days,,,0
19,amur,8/1/09,8/31/09,30 days,,,0
20,amur,9/1/09,9/30/09,30 days,,,0
21,amur,10/1/09,10/31/09,30 days,,,0
22,amur,11/1/09,11/30/09,30 days,,,0
23,amur,12/1/09,12/31/09,30 days,,,0
24,amur,1/1/10,1/31/10,30 days,,,0
25,amur,2/1/10,2/28/10,30 days,,,0
26,amur,3/1/10,3/31/10,30 days,,,0
27,amur,4/1/10,4/30/10,30 days,,,0
28,amur,5/1/10,5/31/10,30 days,,,0
29,amur,6/1/10,6/30/10,30 days,,,0
30,amur,7/1/10,7/31/10,30 days,,,0
31,amur,8/1/10,8/31/10,30 days,,,0
32,amur,9/1/10,9/30/10,30 days,,,0
33,amur,10/1/10,10/31/10,30 days,,,0
34,amur,11/1/10,11/30/10,30 days,,,0
35,amur,12/1/10,12/31/10,30 days,,,0
36,amur,1/1/11,1/31/11,30 days,,,0
37,amur,2/1/11,2/28/11,30 days,,,0
38,amur,3/1/11,3/31/11,30 days,,,0
39,amur,4/1/11,4/30/11,30 days,,,0
40,amur,5/1/11,5/31/11,30 days,,,0
41,amur,6/1/11,6/30/11,30 days,,,0
42,amur,7/1/11,7/31/11,30 days,,,0
43,amur,8/1/11,8/31/11,30 days,,,0
44,amur,9/1/11,9/30/11,30 days,,,0
45,amur,10/1/11,10/31/11,30 days,,,0
46,amur,11/1/11,11/30/11,30 days,,,0
47,amur,12/1/11,12/31/11,30 days,,,0
48,amur,1/1/12,1/31/12,30 days,,,0
49,amur,2/1/12,2/29/12,30 days,,,0
50,amur,3/1/12,3/31/12,30 days,,,0
51,amur,4/1/12,4/30/12,30 days,,,0
52,amur,5/1/12,5/31/12,30 days,,,0
53,amur,6/1/12,6/30/12,30 days,,,0
54,amur,7/1/12,7/31/12,30 days,,,0
55,amur,8/1/12,8/31/12,30 days,,,0
56,amur,9/1/12,9/30/12,30 days,,,0
57,amur,10/1/12,10/31/12,30 days,,,0
58,amur,11/1/12,11/30/12,30 days,,,0
59,amur,12/1/12,12/31/12,30 days,,,0
60,amur,1/1/13,1/31/13,30 days,,,0
61,amur,2/1/13,2/28/13,30 days,,,0
62,amur,3/1/13,3/31/13,30 days,,,0
63,amur,4/1/13,4/30/13,30 days,,,0
64,amur,5/1/13,5/31/13,30 days,,,0
65,amur,6/1/13,6/30/13,30 days,,,0
66,amur,7/1/13,7/31/13,30 days,,,0
67,amur,8/1/13,8/31/13,30 days,,,0
68,amur,9/1/13,9/30/13,30 days,,,0
69,amur,10/1/13,10/31/13,30 days,,,0
70,amur,11/1/13,11/30/13,30 days,,,0
71,amur,12/1/13,12/31/13,30 days,,,0
72,amur,1/1/14,1/31/14,30 days,,,0
73,amur,2/1/14,2/28/14,30 days,,,0
74,amur,3/1/14,3/31/14,30 days,,,0
75,amur,4/1/14,4/30/14,30 days,,,0
76,amur,5/1/14,5/31/14,30 days,,,0
77,amur,6/1/14,6/30/14,30 days,,,0
78,amur,7/1/14,7/31/14,30 days,,,0
79,amur,8/1/14,8/31/14,30 days,,,0
80,amur,9/1/14,9/30/14,30 days,,,0
81,amur,10/1/14,10/31/14,30 days,,,0
82,amur,11/1/14,11/30/14,30 days,,,0
83,amur,12/1/14,12/31/14,30 days,,,0
84,amur,1/1/15,1/31/15,30 days,,,0
85,amur,2/1/15,2/28/15,30 days,,,0
86,amur,3/1/15,3/31/15,30 days,,,0
87,amur,4/1/15,4/30/15,30 days,,,0
88,amur,5/1/15,5/31/15,30 days,,,0
89,amur,6/1/15,6/30/15,30 days,,,0
90,amur,7/1/15,7/31/15,30 days,,,0
91,amur,8/1/15,8/31/15,30 days,,,0
92,amur,9/1/15,9/30/15,30 days,,,0
93,amur,10/1/15,10/31/15,30 days,,,0
94,amur,11/1/15,11/30/15,30 days,,,0
95,amur,12/1/15,12/31/15,30 days,,,0
96,amur,1/1/16,1/31/16,30 days,,,0
97,amur,2/1/16,2/29/16,30 days,,,0
98,amur,3/1/16,3/31/16,30 days,,,0
99,amur,4/1/16,4/30/16,30 days,,,0
100,amur,5/1/16,5/31/16,30 days,,,0
101,amur,6/1/16,6/30/16,30 days,,,0
102,amur,7/1/16,7/31/16,30 days,,,0
103,amur,8/1/16,8/31/16,30 days,,,0
104,amur,9/1/16,9/30/16,30 days,,,0
105,amur,10/1/16,10/31/16,30 days,,,0
106,amur,11/1/16,11/30/16,30 days,,,0
107,amur,12/1/16,12/31/16,30 days,,,0
108,amur,1/1/17,1/31/17,30 days,,,0
109,amur,2/1/17,2/28/17,30 days,,,0
110,amur,3/1/17,3/31/17,30 days,,,0
111,amur,4/1/17,4/30/17,30 days,,,0
112,amur,5/1/17,5/31/17,30 days,,,0
113,amur,6/1/17,6/30/17,30 days,,,0
114,amur,7/1/17,7/31/17,30 days,,,0
115,amur,8/1/17,8/31/17,30 days,,,0
116,amur,9/1/17,9/30/17,30 days,,,0
117,amur,10/1/17,10/31/17,30 days,,,0
118,amur,11/1/17,11/30/17,30 days,,,0
119,amur,12/1/17,12/31/17,30 days,,,0
120,amur,1/1/18,1/31/18,30 days,,,0
121,amur,2/1/18,2/28/18,30 days,,,0
122,amur,3/1/18,3/31/18,30 days,,,0
123,amur,4/1/18,4/30/18,30 days,,,0
124,amur,5/1/18,5/31/18,30 days,,,0
125,amur,6/1/18,6/30/18,30 days,,,0
126,amur,7/1/18,7/31/18,30 days,,,0
127,amur,8/1/18,8/31/18,30 days,,,0
128,amur,9/1/18,9/30/18,30 days,,,0
129,amur,10/1/18,10/31/18,30 days,,,0
130,amur,11/1/18,11/30/18,30 days,,,0
131,amur,12/1/18,12/31/18,30 days,,,0
132,amur,1/1/19,1/31/19,30 days,,,0
133,amur,2/1/19,2/28/19,30 days,,,0
134,amur,3/1/19,3/31/19,30 days,,,0
135,amur,4/1/19,4/30/19,30 days,,,0
136,amur,5/1/19,5/31/19,30 days,,,0
137,amur,6/1/19,6/30/19,30 days,,,0
138,amur,7/1/19,7/31/19,30 days,,,0
139,amur,8/1/19,8/31/19,30 days,,,0
140,amur,9/1/19,9/30/19,30 days,,,0
141,amur,10/1/19,10/31/19,30 days,,,0
142,amur,11/1/19,11/30/19,30 days,,,0
143,amur,12/1/19,12/31/19,30 days,,,0
144,amur,1/1/20,1/31/20,30 days,,,0
145,amur,2/1/20,2/29/20,30 days,,,0
146,amur,3/1/20,3/31/20,30 days,,,0
147,amur,4/1/20,4/30/20,30 days,,,0
148,amur,5/1/20,5/31/20,30 days,,,0
149,amur,6/1/20,6/30/20,30 days,,,0
150,amur,7/1/20,7/31/20,30 days,,,0
151,amur,8/1/20,8/31/20,30 days,,,0
152,amur,9/1/20,9/30/20,30 days,,,0
153,amur,10/1/20,10/31/20,30 days,,,0
154,amur,11/1/20,11/30/20,30 days,,,0
155,amur,12/1/20,12/31/20,30 days,,,0
156,amur,1/1/21,1/31/21,30 days,,,0
157,amur,2/1/21,2/28/21,30 days,,,0
158,amur,3/1/21,3/31/21,30 days,,,0
159,amur,4/1/21,4/30/21,30 days,,,0
160,amur,5/1/21,5/31/21,30 days,,,0
161,amur,6/1/21,6/30/21,30 days,,,0
162,amur,7/1/21,7/31/21,30 days,,,0
163,amur,8/1/21,8/31/21,30 days,,,0
164,amur,9/1/21,9/30/21,30 days,,,0
165,amur,10/1/21,10/31/21,30 days,,,0
166,amur,11/1/21,11/30/21,30 days,,,0
167,amur,12/1/21,12/31/21,30 days,,,0
168,amur,1/1/22,1/31/22,30 days,,,0
169,amur,2/1/22,2/28/22,30 days,,,0
170,amur,3/1/22,3/31/22,30 days,,,0
171,amur,4/1/22,4/30/22,30 days,,,0
172,amur,5/1/22,5/31/22,30 days,,,0
173,amur,6/1/22,6/30/22,30 days,,,0
174,amur,7/1/22,7/31/22,30 days,,,0
175,amur,8/1/22,8/31/22,30 days,,,0
176,amur,9/1/22,9/30/22,30 days,,,0
177,amur,10/1/22,10/31/22,30 days,,,0
178,amur,11/1/22,11/30/22,30 days,,,0
179,amur,12/1/22,12/31/22,30 days,,,0