index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished,Unnamed: 10,Unnamed: 11
0,IRWD,Irrawaddy,06/30/2008,12/31/2008,,,,,,,
1,IRWD,Irrawaddy,01/01/2009,06/30/2009,,,,,,,
2,IRWD,Irrawaddy,07/01/2009,12/31/2009,,,,,,,
3,IRWD,Irrawaddy,01/01/2010,06/30/2010,,,,,,,
4,IRWD,Irrawaddy,07/01/2010,12/31/2010,,,,,,,
5,IRWD,Irrawaddy,01/01/2011,06/30/2011,,,,,,,
6,IRWD,Irrawaddy,07/01/2011,12/31/2011,,,,,,,
7,IRWD,Irrawaddy,01/01/2012,06/30/2012,,,,,,,07/01/2019
8,IRWD,Irrawaddy,07/01/2012,12/31/2012,,,,,,,
9,IRWD,Irrawaddy,01/01/2013,06/30/2013,,,,,,,
10,IRWD,Irrawaddy,07/01/2013,09/30/2013,,,,,,,
11,IRWD,Irrawaddy,10/01/2013,12/31/2013,,,,,,,
12,IRWD,Irrawaddy,01/01/2014,03/31/2043,,,,,,,
13,IRWD,Irrawaddy,04/01/2014,05/31/2014,,,,,,,
14,IRWD,Irrawaddy,06/01/2014,07/31/2014,,,,,,,
15,IRWD,Irrawaddy,08/01/2014,09/30/2014,,,,,,,
16,IRWD,Irrawaddy,10/01/2014,11/30/2014,,,,,,,
17,IRWD,Irrawaddy,12/01/2014,01/31/2015,,,,,,,
18,IRWD,Irrawaddy,02/01/2015,03/31/2015,,,,,,,
19,IRWD,Irrawaddy,04/01/2015,05/31/2015,,,,,,,
20,IRWD,Irrawaddy,06/01/2015,07/31/2015,,,,,,,
21,IRWD,Irrawaddy,08/01/2015,09/30/2015,,,,,,,
22,IRWD,Irrawaddy,10/01/2015,11/30/2015,,,,,,,
23,IRWD,Irrawaddy,12/01/2015,01/31/2016,,,,,,,
24,IRWD,Irrawaddy,02/01/2016,03/31/2016,,,,,,,
25,IRWD,Irrawaddy,04/01/2016,05/31/2016,,,,,,,
26,IRWD,Irrawaddy,06/01/2016,07/31/2016,,,,,,,
27,IRWD,Irrawaddy,08/01/2016,09/30/2016,,,,,,,
28,IRWD,Irrawaddy,10/01/2016,11/30/2016,,,,,,,
29,IRWD,Irrawaddy,12/01/2016,01/31/2017,,,,,,,
30,IRWD,Irrawaddy,02/01/2017,03/31/2017,,,,,,,
31,IRWD,Irrawaddy,04/01/2017,05/31/2017,,,,,,,
32,IRWD,Irrawaddy,06/01/2017,06/30/2017,,,,,,,
33,IRWD,Irrawaddy,07/01/2017,07/31/2017,,,,,,,
34,IRWD,Irrawaddy,08/01/2017,08/31/2017,,,,,,,
35,IRWD,Irrawaddy,09/01/2017,09/30/2017,,,,,,,
36,IRWD,Irrawaddy,10/01/2017,10/31/2017,,,,,,,
37,IRWD,Irrawaddy,11/01/2017,11/30/2017,,,,,,,
38,IRWD,Irrawaddy,12/01/2017,12/31/2017,,,,,,,
39,IRWD,Irrawaddy,01/01/2018,01/31/2018,,,,,,,
40,IRWD,Irrawaddy,02/01/2018,02/28/2018,,,,,,,
41,IRWD,Irrawaddy,03/01/2018,03/31/2018,,,,,,,
42,IRWD,Irrawaddy,04/01/2018,04/30/2018,,,,,,,
43,IRWD,Irrawaddy,05/01/2018,05/31/2018,,,,,,,
44,IRWD,Irrawaddy,06/01/2018,06/30/2018,,,,,,,
45,IRWD,Irrawaddy,07/01/2018,07/31/2018,,,,,,,
46,IRWD,Irrawaddy,08/01/2018,08/31/2018,,,,,,,
47,IRWD,Irrawaddy,09/01/2018,09/30/2018,,,,,,,
48,IRWD,Irrawaddy,10/01/2018,10/31/2018,,,,,,,
49,IRWD,Irrawaddy,11/01/2018,11/30/2018,,,,,,,
50,IRWD,Irrawaddy,12/01/2018,12/31/2018,,,,,,,
51,IRWD,Irrawaddy,01/01/2019,01/31/2019,,,,,,,
52,IRWD,Irrawaddy,02/01/2019,03/31/2019,,,,,,,
53,IRWD,Irrawaddy,04/01/2019,05/31/2019,,,,,,,
54,IRWD,Irrawaddy,06/01/2019,07/31/2019,,,,,,,
55,IRWD,Irrawaddy,08/01/2019,09/30/2019,,,,,,,
56,IRWD,Irrawaddy,10/01/2019,11/30/2019,,,,,,,
57,IRWD,Irrawaddy,12/01/2019,01/31/2020,,,,,,,
58,IRWD,Irrawaddy,02/01/2020,03/31/2020,,,,,,,
59,IRWD,Irrawaddy,04/01/2020,05/31/2020,,,,,,,
60,IRWD,Irrawaddy,06/01/2020,07/31/2020,,,,,,,
61,IRWD,Irrawaddy,08/01/2020,09/30/2020,,,,,,,
62,IRWD,Irrawaddy,10/01/2020,11/30/2020,,,,,,,
63,IRWD,Irrawaddy,12/01/2020,01/31/2021,,,,,,,
64,IRWD,Irrawaddy,02/01/2021,03/31/2021,,,,,,,
65,IRWD,Irrawaddy,04/01/2021,05/31/2021,,,,,,,
66,IRWD,Irrawaddy,06/01/2021,08/31/2021,,,,,,,
67,IRWD,Irrawaddy,09/01/2021,09/30/2021,,,,,,,
68,IRWD,Irrawaddy,10/01/2021,12/31/2021,,,,,,,
69,IRWD,Irrawaddy,01/01/2022,03/31/2022,,,,,,,
70,IRWD,Irrawaddy,04/01/2022,06/30/2022,,,,,,,
71,IRWD,Irrawaddy,07/01/2022,09/30/2022,,,,,,,
72,IRWD,Irrawaddy,10/01/2022,12/31/2022,,,,,,,
73,IRWD,Irrawaddy,01/01/2023,03/31/2023,,,,,,,
74,IRWD,Irrawaddy,04/01/2023,06/30/2023,,,,,,,
75,IRWD,Irrawaddy,07/01/2023,09/30/2023,,,,,,,
76,IRWD,Irrawaddy,10/01/2023,12/31/2023,,,,,,,
77,IRWD,Irrawaddy,01/01/2024,03/15/2024,,,,,,,
